Board_key,Board,Algorithm,Time execution,Explored nodes
1,"[[1, 0, 0, 0], [0, 4, 0, 0], [2, 1, 4, 0], [4, 3, 0, 1]]",depthFirstSearch,0.160098791,10
1,"[[1, 0, 0, 0], [0, 4, 0, 0], [2, 1, 4, 0], [4, 3, 0, 1]]",aStarSearch,0.085441113,9
2,"[[1, 2, 0, 0], [0, 4, 2, 0], [2, 0, 0, 0], [0, 0, 1, 0]]",depthFirstSearch,0.132688284,12
2,"[[1, 2, 0, 0], [0, 4, 2, 0], [2, 0, 0, 0], [0, 0, 1, 0]]",aStarSearch,0.217715502,11
3,"[[0, 0, 4, 3], [0, 4, 0, 2], [4, 3, 2, 0], [1, 2, 0, 0]]",depthFirstSearch,0.124095917,8
3,"[[0, 0, 4, 3], [0, 4, 0, 2], [4, 3, 2, 0], [1, 2, 0, 0]]",aStarSearch,0.099001646,8
4,"[[1, 0, 3, 4], [0, 4, 1, 0], [0, 1, 2, 0], [0, 0, 4, 0]]",depthFirstSearch,0.074575901,9
4,"[[1, 0, 3, 4], [0, 4, 1, 0], [0, 1, 2, 0], [0, 0, 4, 0]]",aStarSearch,0.112288237,9
5,"[[1, 0, 2, 0], [2, 4, 0, 3], [4, 2, 3, 0], [3, 0, 0, 2]]",depthFirstSearch,0.053969383,7
5,"[[1, 0, 2, 0], [2, 4, 0, 3], [4, 2, 3, 0], [3, 0, 0, 2]]",aStarSearch,0.089123011,7
6,"[[0, 0, 3, 0], [0, 0, 0, 2], [4, 0, 0, 0], [1, 0, 4, 3]]",depthFirstSearch,0.225360155,15
6,"[[0, 0, 3, 0], [0, 0, 0, 2], [4, 0, 0, 0], [1, 0, 4, 3]]",aStarSearch,0.163581133,11
7,"[[0, 4, 0, 3], [1, 3, 0, 0], [3, 1, 0, 0], [0, 0, 0, 1]]",depthFirstSearch,0.143559456,10
7,"[[0, 4, 0, 3], [1, 3, 0, 0], [3, 1, 0, 0], [0, 0, 0, 1]]",aStarSearch,0.192325115,10
8,"[[1, 0, 0, 3], [0, 0, 1, 2], [0, 0, 0, 4], [2, 0, 0, 1]]",depthFirstSearch,0.198948145,11
