Board_key,Board,Algorithm,Time execution,Explored nodes,,,,,
1,"[[1, 0, 8, 0, 0, 5, 0, 0, 0], [0, 9, 6, 0, 0, 0, 0, 8, 0], [3, 5, 0, 8, 2, 0, 0, 9, 0], [0, 0, 9, 3, 8, 0, 6, 0, 0], [0, 3, 4, 5, 0, 0, 9, 0, 0], [6, 0, 5, 0, 9, 2, 0, 4, 0], [9, 0, 2, 4, 0, 0, 7, 0, 6], [0, 4, 1, 0, 0, 0, 0, 0, 9], [7, 6, 0, 2, 0, 9, 0, 1, 0]]",depthFirstSearch,27.18973327,695,,,,,Timeout = 100s
1,"[[1, 0, 8, 0, 0, 5, 0, 0, 0], [0, 9, 6, 0, 0, 0, 0, 8, 0], [3, 5, 0, 8, 2, 0, 0, 9, 0], [0, 0, 9, 3, 8, 0, 6, 0, 0], [0, 3, 4, 5, 0, 0, 9, 0, 0], [6, 0, 5, 0, 9, 2, 0, 4, 0], [9, 0, 2, 4, 0, 0, 7, 0, 6], [0, 4, 1, 0, 0, 0, 0, 0, 9], [7, 6, 0, 2, 0, 9, 0, 1, 0]]",aStarSearch,8.837390184,175,,,,,
2,"[[9, 6, 5, 0, 0, 4, 0, 0, 0], [0, 2, 8, 9, 0, 5, 0, 0, 0], [0, 4, 0, 1, 0, 0, 0, 9, 5], [2, 1, 0, 0, 0, 0, 0, 0, 6], [0, 0, 3, 5, 0, 0, 2, 0, 9], [0, 0, 6, 0, 4, 9, 0, 8, 1], [8, 0, 1, 6, 5, 0, 0, 0, 0], [0, 0, 4, 0, 1, 2, 9, 5, 0], [0, 5, 0, 4, 0, 0, 6, 0, 0]]",depthFirstSearch,16.06569982,485,,,,,
2,"[[9, 6, 5, 0, 0, 4, 0, 0, 0], [0, 2, 8, 9, 0, 5, 0, 0, 0], [0, 4, 0, 1, 0, 0, 0, 9, 5], [2, 1, 0, 0, 0, 0, 0, 0, 6], [0, 0, 3, 5, 0, 0, 2, 0, 9], [0, 0, 6, 0, 4, 9, 0, 8, 1], [8, 0, 1, 6, 5, 0, 0, 0, 0], [0, 0, 4, 0, 1, 2, 9, 5, 0], [0, 5, 0, 4, 0, 0, 6, 0, 0]]",aStarSearch,16.62365699,363,,,,,
3,"[[0, 0, 2, 9, 8, 0, 0, 0, 1], [1, 0, 0, 0, 0, 5, 0, 6, 7], [0, 4, 7, 1, 3, 0, 0, 2, 0], [2, 0, 3, 0, 0, 8, 5, 7, 0], [8, 0, 0, 0, 0, 0, 2, 4, 3], [4, 7, 0, 0, 5, 0, 1, 0, 0], [0, 0, 0, 5, 0, 4, 7, 0, 0], [0, 0, 0, 0, 1, 0, 0, 5, 8], [0, 0, 9, 8, 0, 0, 6, 0, 4]]",depthFirstSearch,8.602560282,266,,,,,
3,"[[0, 0, 2, 9, 8, 0, 0, 0, 1], [1, 0, 0, 0, 0, 5, 0, 6, 7], [0, 4, 7, 1, 3, 0, 0, 2, 0], [2, 0, 3, 0, 0, 8, 5, 7, 0], [8, 0, 0, 0, 0, 0, 2, 4, 3], [4, 7, 0, 0, 5, 0, 1, 0, 0], [0, 0, 0, 5, 0, 4, 7, 0, 0], [0, 0, 0, 0, 1, 0, 0, 5, 8], [0, 0, 9, 8, 0, 0, 6, 0, 4]]",aStarSearch,1.986155987,46,,,,,
4,"[[1, 0, 3, 0, 0, 8, 0, 6, 0], [4, 0, 0, 0, 0, 0, 0, 3, 5], [5, 0, 0, 0, 0, 2, 0, 0, 4], [2, 1, 0, 0, 0, 0, 0, 0, 6], [0, 0, 0, 0, 0, 5, 1, 8, 0], [7, 0, 6, 8, 0, 1, 0, 4, 0], [9, 0, 1, 0, 4, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 7, 9, 3], [6, 0, 0, 7, 0, 0, 4, 5, 0]]",depthFirstSearch,45.14638233,1227,,,,,
4,"[[1, 0, 3, 0, 0, 8, 0, 6, 0], [4, 0, 0, 0, 0, 0, 0, 3, 5], [5, 0, 0, 0, 0, 2, 0, 0, 4], [2, 1, 0, 0, 0, 0, 0, 0, 6], [0, 0, 0, 0, 0, 5, 1, 8, 0], [7, 0, 6, 8, 0, 1, 0, 4, 0], [9, 0, 1, 0, 4, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 7, 9, 3], [6, 0, 0, 7, 0, 0, 4, 5, 0]]",aStarSearch,13.05085206,265,,,,,
5,"[[0, 2, 0, 4, 5, 0, 0, 0, 0], [0, 0, 8, 1, 0, 0, 0, 3, 5], [6, 0, 7, 0, 0, 3, 0, 1, 0], [0, 0, 0, 0, 0, 0, 4, 8, 6], [0, 0, 6, 2, 0, 0, 3, 0, 9], [0, 0, 4, 0, 0, 6, 0, 0, 0], [8, 3, 0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 8, 0, 0, 0, 0], [0, 0, 9, 0, 0, 1, 6, 2, 0]]",depthFirstSearch,TIMEOUT,TIMEOUT,,,,,
5,"[[0, 2, 0, 4, 5, 0, 0, 0, 0], [0, 0, 8, 1, 0, 0, 0, 3, 5], [6, 0, 7, 0, 0, 3, 0, 1, 0], [0, 0, 0, 0, 0, 0, 4, 8, 6], [0, 0, 6, 2, 0, 0, 3, 0, 9], [0, 0, 4, 0, 0, 6, 0, 0, 0], [8, 3, 0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 8, 0, 0, 0, 0], [0, 0, 9, 0, 0, 1, 6, 2, 0]]",aStarSearch,7.805976629,178,,,,,
